nl,code,utils
" don't print the header. toggle printing the <b>from</b> (remote display ip address instead of and translate or delete characters delete characters in set1, do first truncate set1 to length",w -f -h -i | tr -d --truncate-set1,w tr
,shopt,shopt
show who is logged on rather than stored hostname attempt to canonicalize hostnames via print last system clock change and remove sections from each line of files from first to m'th (included),who -t --ips --lookup | cut arg,who cut
"opposite of more by default, forward searches start specifies a tags file to normally, if the input file",less -T arg -a --follow-name,less
"sort lines of text files compare according to general numerical check for sorted input; do like <b>-c</b>, but do not use size for main memory use dir for temporaries, not and output the last part of files same as <b>--follow</b>=<u>name</u> <b>--retry</b> with <b>--follow</b>=<u>name</u>, reopen a file",sort -C arg -T arg -g --buffer-size Size --check ARG | tail -F --max-unchanged-stats arg,tail sort
Prints sorted list of logged in users.,w -h | cut -d arg,sort w cut uniq
cut out selected fields of each line of a file select only these bytes use delim instead of tab,cut -b arg --delimiter arg,cut
deliver the last part of a file never output headers giving file,tail --quiet,tail
concatenate and print files in reverse attach the separator before instead interpret the separator as a use string as the separator,tac -b --regex --separator arg,tac
"pipe fitting append to the given files, ignore interrupt signals diagnose errors writing to non",tee arg --append --ignore-interrupts,tee
"Find files in and below the current directory whose names begin with ""not"" and remove one of them",find arg -name arg | tail,find xargs rm tail
"compress or expand files when compressing, do not save when compressing, always save the when compressing, use suffix .suf",gzip -N -S arg,gzip
compress data,compress,compress
"a block-sorting file compressor, v1.0.6 force overwrite of output files. reduce memory usage, for compression,",bunzip2 --force --small,bunzip2
make links between files prompt whether to remove destinations dereference targets that are symbolic treat link_name as a normal,ln --interactive --logical --no-dereference arg arg arg,ln
,popd,popd
copy the first part of files print the first num bytes print the first num lines never print headers giving file always print headers giving file and number lines of files use cc for logical page use number columns for line,head -c -Quantity -q -v | nl -d arg --number-width arg,nl head
delay for a specified amount of time display this help and exit,sleep --help Timespan,sleep
"Format ""$line"" as a table",echo arg | column -t,echo column
copy files and directories prompt before overwrite (overrides a make symbolic links instead of copy all source arguments into,cp -i --symbolic-link --target-directory arg arg,cp
move files like <b>--backup</b> but does not override the usual backup suffix treat dest as a normal set selinux security context of,mv -T arg -b --suffix arg arg,mv
"list contents of directory do not ignore entries starting list entries by columns with <b>-l</b> and/or <b>-s</b>, print print the allocated size of",ls -C -h --all --size,ls
"Count the number of lines in all "".txt"" files",cat arg | wc -l,wc cat
create a tar of all png & jpg images in the current folder,find arg \( -iname arg -or,find tar
 don't print the header. ignores the username while figuring use the short format. don't and  print only the matched (non-empty) suppress error messages about nonexistent skip any command-line directory with option.,w -h -s --no-current | grep -I -o -s --exclude-dir arg arg,w grep
display a tree of processes with selinux support. and stream editor for filtering and transforming text disable all gnu extensions. consider files as separate rather,pstree -Z | sed --posix --separate Program,sed pstree
"date and time like <b>--date</b>; once for each output date/time in rfc 3339 set time described by string and translate or delete characters delete characters in set1, do",date --file arg --rfc-3339 ARG --set arg | tr -d,date tr
change the file group ownership affect symbolic links instead of operate on files and directories,chgrp -h --recursive arg arg,chgrp
compress and expand data,compress,compress
remove all the core files in the temp file after user confirmation,find arg -name arg -type f,find xargs rm
"Merge colon-separated information from standard input and file1.txt where the first field of both files matches, print unpairable lines from standard input, replace missing fields with ""no-match"", and output the second field from standard input and the second and third field from file1.txt","join -t arg -o 1.2,2.2,2.3 -a",sort join
change the file modes use rfile's mode instead of,chmod --reference arg arg arg,chmod
Prints process tree of a current process with parents processes and id numbers.,pstree --show-parents -p arg | head,less sed head pstree
concatenate files and print on the standard output display $ at end of suppress repeated empty output lines display tab characters as ^i and translate or delete characters use the complement of set1 and stream editor for filtering and transforming text suppress automatic printing of pattern edit files in place (makes specify the desired line-wrap length separate lines by nul characters,cat -T -s --show-ends | tr -C | sed -i Program -l arg -n --null-data arg,sed cat tr
"List the files/directories under /PATH_to_SEARCH, do a numeric sort and print the ones with different inode numbers",find arg -ls | sort -n,find awk sort
find all the .jpg files in / and copy them to the current folder.,find arg -type f -name arg,find cp
"Save absolute path of ""$path"" whose parents exist to variable ""abspath""",readlink -f arg,readlink
,sudo,sudo
catenate files,read,read
"Print the contents of ""n""",cat arg,cat
display status of jobs in the current session and pattern-directed scanning and processing language,jobs | awk,jobs awk
,history arg,history
display status of jobs in the current session,jobs,jobs
"search for files in a directory hierarchy like <b>-regex</b>, but the match and compare files line by line expand tabs to spaces in pass output through 'pr' to exclude files that match pat and pattern-directed scanning and processing language",find -iregex arg arg | diff -l -t -x arg arg | awk,diff awk find
Run 'somecommand' in an environment without the FOO variable.,env -u arg arg,env
run jobs in the background,bg,bg
filter for folding lines count bytes rather than columns break at spaces use width columns instead of,fold --bytes --spaces --width arg,fold
"run a program in a modified environment start with an empty environment and report or omit repeated lines only print unique lines line delimiter is nul, not compare no more than n and build and execute command lines from standard input input items are terminated by",env --ignore-environment | uniq -u -w arg -z | xargs -0,xargs uniq env
"display system documentation this option is normally issued if this system has access show all pages with any by default, <b>man</b> will exit",man -D -m --all --regex arg,man
"print lines matching a pattern obtain patterns from <u>file</u>, one select only those lines containing stop reading a file after",grep -F -f arg -w --max-count arg arg,grep
,popd,popd
change the working directory,cd,cd
return the directory portion of a pathname,dirname arg,dirname
"dump files in various formats output format for file offsets; same as <b>-t</b> ff, select",od -A ARG -f,od
"Create a symbolic link named ""/usr/bin/my-editor"" to ""/usr/share/my-editor/my-editor-executable"" and attemp to hard link directories",ln -s -F arg arg,ln
change the file modes output a diagnostic for every do not treat '/' specially change files and directories recursively,chmod -R -v --no-preserve-root arg arg,chmod
Search the home directory tree for files matching pattern '*.txt',find arg -name arg,find
delay for a specified amount of time output version information and exit,sleep --version Timespan,sleep
"columnate lists specify a set of characters whitespace, by default, or with do not ignore empty lines.",column -e -s arg,column
catenate files,read,read
remove empty directories remove directory and its ancestors; output a diagnostic for every,rmdir -p --verbose arg,rmdir
"find files always false. true; print the full file setting the `lc_messages' environment variable. and compute and check MD5 message digest read in text mode (default) don't output anything, status code and translate or delete characters delete characters in set1, do",find -false -fprint arg arg | md5sum -t --status | tr --delete,md5sum find tr
return the directory portion of a pathname,dirname arg,dirname
find all the directories in the current folder which have been modified in 24 hours and move them to the folder  /path/to/target-dir,find arg -depth -type d -mtime,find mv
print sequences of numbers use string to separate numbers equalize width by padding with,seq -s arg --equal-width arg arg arg,seq
Print a sorted list of *.so files in the bla directory tree,find arg -name arg -print0 |,find sort
"Count the number of unique duplicate lines in ""file1"" and ""file2"" combined",sort arg | uniq -d |,sort wc uniq
search for files in a directory hierarchy file's status was last changed no group corresponds to file's file name matches regular expression,find -cnewer arg -regex arg arg,find
print the groups a user is in,groups,groups
Find recursively the latest modified file in the current directory,find arg -type f -print0 |,find xargs tail ls
change the working directory,cd,cd
filter for folding lines break at spaces use width columns instead of,fold -s --width arg,fold
read Info documents output selected nodes to file,info -o arg,info
stream editor add the script to the follow symlinks when processing in separate lines by nul characters,sed -e Program --null-data Program,sed
"Find all files in /home/kos and below whose names end in "".tmp""",find arg -name arg -print,find
display files on a page-by-page basis instead of ringing the bell suppress underlining.,more -d -u,more
columnate lists output is formatted for a specify a set of characters fill columns before filling rows. do not ignore empty lines.,column -c -Quantity -s arg,column
"do nothing, unsuccessfully display this help and exit",false --help,false
print the groups a user is in,groups,groups
,sudo,sudo
cut out selected fields of each line of a file,cut,cut
 set netmask to mask,ifconfig -m arg,ifconfig
"do nothing, successfully output version information and exit",true --version,true
"print resolved symbolic links or canonical file names canonicalize by following every symlink , <b>--quiet</b>, report error messages and stream editor for filtering and transforming text add the contents of script-file edit files in place (makes",readlink -f -v --quiet arg | sed -f arg Program arg,sed readlink
"cut out selected fields of each line of a file select only these fields; also line delimiter is nul, not from first to m'th (included)",cut arg --fields arg,cut
Find files/directories under current directory that are modified exactly one hour ago,find arg -mtime Timespan,find
"sort lines of text files consider only printable characters compare human readable numbers (e.g., sort according to word: general-numeric merge already sorted files; do and concatenate and print files in reverse interpret the separator as a and stream editor for filtering and transforming text specify the desired line-wrap length",sort -h -i --merge --sort ARG | tac -r | sed -l arg Program,sed tac sort
"compress or expand files when compressing, do not save test. check the compressed file and  if an input file is",gzip --no-name --test | grep -D ARG arg,gzip grep
DNS lookup utility sign queries using tsig using enable memory usage debugging.,dig -k arg,dig
terminate or signal processes list signal names in a,kill -L arg,kill
create a temporary file or directory suppress diagnostics about file/dir-creation failure append suff to template; suff,mktemp --quiet --suffix arg,mktemp
"Split ""domains.xml"" into files of at most 50000 lines each with a numeric suffix of length 4 and prefix of ""domains_""",split -a arg -d -l arg,split
"a block-sorting file compressor, v1.0.6 display the software version, license",bunzip2 --version,bunzip2
"reverse lines characterwise and output the first part of files print the first num lines never print headers giving file and dump files in octal and other formats limit dump to bytes input same as <b>-t</b> a, select same as <b>-t</b> d2, select and opposite of more causes searches to ignore case; causes consecutive blank lines to",rev | head -n -Quantity | od -a -s --read-bytes Size | less -i -s,less od rev head
wrap each input line to fit in specified width break at spaces,fold -s,fold
print resolved symbolic links or canonical file names canonicalize by following every symlink canonicalize by following every symlink do not output the trailing,readlink -e -m -n arg,readlink
" invert the sense of matching, select only those matches that print only the matched (non-empty) quiet; do not write anything display input actually coming from treat the file(s) as binary. and number lines of files insert line numbers according to first line number for each and translate or delete characters delete characters in set1, do first truncate set1 to length",grep -U -q -v -x --label arg --only-matching arg | nl -v arg --number-format ARG | tr -d -t,grep nl tr
"read from standard input and write to standard output and files append to the given files, ignore interrupt signals diagnose errors writing to non",tee -a arg --ignore-interrupts,tee
,history arg,history
Find all files/directories that are not newer than Jul 01 by modification time,find arg ! -newermt arg,find
"dump files in octal and other formats same as <b>-t</b> o1, select same as <b>-t</b> c, select same as <b>-t</b> u2, select same as <b>-t</b> dl, select",od -b -c -d -l,od
"create a temporary file or directory create a directory, not a suppress diagnostics about file/dir-creation failure append suff to template; suff interpret template relative to dir;",mktemp --directory --quiet --suffix arg --tmpdir arg,mktemp
Print yesterday's date as yyy:mm:dd,date +%Y:%m:%d -d arg,date
wrap each input line to fit in specified width use width columns instead of,fold -w arg,fold
Find all the files which are modified in last 1 hour,find arg -mmin -Quantity,find
How many number lines of files first line number for each,nl -v arg | wc -l,wc nl
merge corresponding or subsequent lines of files reuse characters from list instead,paste --delimiters arg,paste
differential file comparator output in two columns start with file when comparing ignore white space at line,diff -S arg -Z -y arg,diff
change file timestamps display this help and exit,touch --help arg,touch
print sequences of numbers use printf style floating-point format use string to separate numbers equalize width by padding with,seq -w --format ARG --separator arg arg arg arg,seq
display Linux processes show library version and the instructs top to display individual starts top with secure mode,top -H -s -v,top
"report file system disk space usage print file system type and  obtain patterns from <u>file</u>, one select only those lines containing suppress normal output; instead print stop reading a file after quiet; do not write anything",df -T | grep -f arg --files-without-match --max-count arg --quiet --word-regexp arg,grep df
concatenate and print files in reverse attach the separator before instead interpret the separator as a use string as the separator and reverse lines characterwise,tac -b -s arg --regex | rev,tac rev
Search /tmp/ for files smaller than 100 bytes,find arg -size -Size,find
send ICMP ECHO_REQUEST packets to network hosts stop after sending (and receiving),ping -c arg,ping
,history arg,history
"do nothing, successfully output version information and exit",true --version,true
print sequences of numbers use printf style floating-point format equalize width by padding with,seq --equal-width --format ARG arg arg arg,seq
"create a temporary file or directory create a directory, not a suppress diagnostics about file/dir-creation failure interpret template relative to dir;",mktemp -p arg -q --directory,mktemp
print sequences of numbers use string to separate numbers and split a file into pieces put size bytes per output use hex suffixes starting at,seq -s arg arg arg arg | split -b Size arg,seq split
"Calculate the total disk usage for each "".jpg"" file on the system and prepend the system host name to the output",find arg -iname arg -exec du,find sed hostname du
"file perusal filter for crt viewing do not pause after any count logical lines, rather than squeeze multiple blank lines into",more -f -l -s,more
construct argument lists and invoke utility read items from <u>file</u> instead this option is a synonym prompt the user about whether,xargs -a arg --eof arg,xargs
Print numbers from 1 to 30 with 0 padding to a width of 2,"seq -f ""%02g"" arg",seq
"List all cron jobs which contain ""word"".",crontab -l | grep arg,crontab grep
differential file comparator exclude files that match pat ignore white space at line and stream editor for filtering and transforming text add the contents of script-file follow symlinks when processing in edit files in place (makes consider files as separate rather,diff -Z --exclude arg arg | sed -f arg --in-place arg --separate Program,sed diff
link files allow the superuser to attempt prompt whether to remove destinations treat link_name as a normal treat link_name as a normal,ln -d --interactive --no-dereference --no-target-directory arg arg arg,ln
copy files to and from archives use the old portable (ascii) reset the access times of,cpio -a -c arg,cpio
output the first part of files never print headers giving file,head --quiet,head
"a fast, versatile, remote (and local) file-copying tool this tells rsync to ignore this tells rsync to transfer this tells rsync to avoid",rsync -t --max-size Size --safe-links arg,rsync
list all files,find arg,find
"report file system disk space usage include pseudo, duplicate, inaccessible file",df --all,df
,] arg,]
"Save absolute path of the script filename in variable ""SCRIPT""",readlink --canonicalize-existing arg,readlink
"print name of current/working directory use pwd from environment, even avoid all symlinks and ",pwd -L -P | grep arg,grep pwd
"Set variable VAR to display Linux processes specifies the maximum number of in batch mode, when used",top -n -Quantity,top
date and time display the last modification time,date --reference arg,date
"do nothing, unsuccessfully and do nothing, successfully and build and execute command lines from standard input display the limits on the",false | true | xargs --show-limits,xargs true false
use find command to search for .png and .jpg files,find arg -type f \( -iname,find
"Nano's ANOther editor, an enhanced free Pico clone detect word boundaries differently by",nano -W,nano
display system documentation specify an alternate manpath to,man -M arg arg,man
"execute a program periodically, showing output fullscreen beep if command has a",watch --beep,watch
pattern scanning and processing language,awk,awk
search  in current directory downwards all files whose status has changed more then 7  days ago,find arg -ctime +Timespan -print,find
invoke a utility immune to hangups display this help and exit,nohup --help,nohup
Search the current directory tree for executable regular files,find arg -type f arg -exec,find grep file
Delete all '-' character from $1 and save the resultant string to variable 'COLUMN',echo arg | tr -d arg,tr echo
display a tree of processes use ascii characters to draw uid is shown in parentheses on the console with <b>echo</b>,pstree -A -U -u,pstree
send a signal to a process list signal names in a,kill --table arg,kill
run jobs in the foreground,fg,fg
"split a file into pieces append an additional suffix to use numeric suffixes starting at same as <b>-d</b>, but allow",split -d --additional-suffix arg --numeric-suffixes arg,split
send a signal to a process list signal names. this option,kill -l arg,kill
"send ICMP ECHO_REQUEST packets to network hosts verbose output. icmp packets other and output the last part of files output the last num lines, never output headers giving file line delimiter is nul, not and translate or delete characters first truncate set1 to length",ping -v arg | tail -n -Quantity --quiet | tr --truncate-set1,ping tail tr
"remove all the "".core"" files in the file system",find arg -name arg | xargs,find xargs rm
list contents of directory do not list implied entries follow each command line symbolic set output width to cols.,ls -w arg --dereference-command-line-symlink-to-dir --ignore-backups,ls
"Search for all the directories named 'm?' under current directory tree, add the extension "".mbox"" to all, create a 'Messages' directories inside them and move all files with .emlx extension to 'Messages' directory",find arg -name arg -type d,find
"Display the contents of /var/log/syslog one page at a time, pausing for user interaction between each.",more arg,more
number lines of files use style for numbering body use style for numbering footer line number increment at each use number columns for line,nl --body-numbering ARG --footer-numbering ARG --line-increment arg --number-width arg,nl
" and columnate lists output is formatted for a specify a set of characters whitespace, by default, or with fill columns before filling rows. using the <b>-t</b> option; this do not ignore empty lines.",mount arg arg | column -c -Quantity -n -s arg -x,mount column
List environment variables and their values whose name matches '^\w*X\w*',set | grep -P arg,set grep
stream editor for filtering and transforming text edit files in place (makes use extended regular expressions in load minimal amounts of data,sed -i Program -r --unbuffered arg,sed
sort lines of text files compare according to string numerical merge already sorted files; do and compare two sorted files line by line do not check that the,sort --merge --numeric-sort | comm --nocheck-order arg,comm sort
"Change the ownership of ""file.sh"" to ""root""",chown arg arg,chown
strip file name affixes remove a trailing suffix; implies end each output line with,basename -s arg -z arg,basename
"run a command immune to hangups, with output to a non-tty",nohup,nohup
change the working directory,cd,cd
"do nothing, successfully display this help and exit",true --help,true
translate or delete characters use the complement of set1 replace each sequence of a first truncate set1 to length,tr -c -s --truncate-set1,tr
"Calculate md5 checksum of the list of all files/dirs in /path recursively including dot files and excluding the patterns 'run', 'sys', 'tmp' and 'proc', then check the checksum against the checksum saved in /tmp/file",ls -a -l -R -I arg,md5sum ls
"file perusal filter for crt viewing count logical lines, rather than the screen size to use,",more -f arg,more
merge lines of files reuse characters from list instead paste one file at a,paste -d arg --serial,paste
change the working directory,cd,cd
dump files in octal and other formats skip bytes input bytes first do not use * to accept arguments in third form,od -v --skip-bytes Size --traditional,od
List all mounted filesystems,mount,mount
"display system documentation by default, <b>man</b> will try if a recent version of and  ignore case distinctions, so that read all files under each read all files under each",man -r arg | grep -R -i -r arg,man grep
Find all files under current directory and append a null character at the end of each of their paths,find arg -type f -print0,find
"delete all the files ending with ""~"" in current folder",find arg -name arg -print |,find xargs rm
report or omit repeated lines prefix lines by the number ignore differences in case when compare no more than n,uniq -i --check-chars arg --count,uniq
change file owner and group output a diagnostic for every affect symbolic links instead of use rfile's owner and group traverse every symbolic link to,chown arg -h --reference arg --verbose arg,chown
"Print every two lines in ""num.txt"" on a single line separated by a space",paste -d arg <( sed -n,paste
"make a directory set file mode (as in no error if existing, make print a message for each like <b>-z</b>, or if ctx",mkdir -m ARG -p --context arg --verbose arg,mkdir
print or set the system date and time display the last modification time,date --reference arg,date
list contents of directories in a tree-like format,tree,tree
"search for files in a directory hierarchy for less than <u>n</u>, file has <u>n</u> hard links. matches files which are readable. if the output is not example) will match a leading",find -links -Quantity -name arg arg,find
remove files or directories do not treat '/' specially,rm --no-preserve-root arg,rm
pattern scanning and processing language and output the last part of files output appended data as the keep trying to open a,awk | tail -f arg --retry,tail awk
display a tree of processes and concatenate files and print on the standard output equivalent to <b>-vet</b> suppress repeated empty output lines display tab characters as ^i and sort lines of text files fold lower case to upper compare according to general numerical,pstree | cat -s --show-all --show-tabs | sort -f --general-numeric-sort,pstree cat sort
change the file ownership like verbose but report only suppress most error messages do not treat '/' specially if a command line argument traverse every symbolic link to,chown arg arg -f --changes --no-preserve-root arg,chown
"make a directory set file mode (as in print a message for each like <b>-z</b>, or if ctx and stream editor for filtering and transforming text suppress automatic printing of pattern add the contents of script-file edit files in place (makes disable all gnu extensions. use extended regular expressions in",mkdir -m ARG -v --context arg arg | sed -f arg --in-place arg --posix --regexp-extended Program,sed mkdir
change the file modes like verbose but report only,chmod --changes arg arg,chmod
"add read permission to others for the files in the current folder having the name ""rc.conf"" in their name.",find arg -name arg -exec chmod,find chmod
show who is logged on attempt to canonicalize hostnames via print current runlevel,who -r --lookup,who
copy files and directories make a backup of each like <b>--backup</b> but does not,cp -b --backup ARG arg,cp
show who is logged on print current runlevel and stream editor for filtering and transforming text follow symlinks when processing in edit files in place (makes,who --runlevel | sed -i Program --follow-symlinks arg,who sed
set the environment for command invocation start with an empty environment and report or omit repeated lines avoid comparing the first n compare no more than n,env --ignore-environment | uniq -s arg --check-chars arg,uniq env
change the file group ownership traverse every symbolic link to do not traverse any symbolic,chgrp arg arg,chgrp
"display status of jobs in the current session and print newline, word, and byte counts for each file print the newline counts print the word counts",jobs | wc --lines --words,jobs wc
find files file's permission bits are exactly (selinux only) security context of,find arg -perm arg arg,find
print calendar months to add before. the use <u>yyyy-mm</u> as the current weeks start on sunday.,cal -B -Quantity -DateTime DateTime,cal
find all the php files in current folder and search for multiple patterns in these files,find arg -name arg -exec grep,find xargs grep
report repeated lines in a file and  interpret the pattern as a display input actually coming from print <u>num</u> lines of output if a file's data or,uniq | grep arg arg --binary-files ARG --label arg --perl-regexp arg,uniq grep
"dump files in various formats do not use * to same as <b>-t</b> c, select same as <b>-t</b> ff, select same as <b>-t</b> di, select",od -c -f -i --output-duplicates,od
concatenate files and print on the standard output number all output lines,cat --number,cat
OpenSSH SSH client (remote login program) use <u>bind_address</u> on the local,ssh -b arg,ssh
"Saves printed calendar for $month, $year in positional variables.",set $( cal DateTime ),set cal
"Prefix all files and folders in the current directory with ""PRE_""",ls | xargs -I {} mv,mv ls xargs
"return working directory name use pwd from environment, even",pwd --logical,pwd
report free disk space print sizes in powers of invoke sync before getting usage limit listing to file systems,df -h --exclude-type ARG --sync,df
"search for the directory ""mysql"" in the /etc folder",find arg -name arg -type d,find
display who is on the system only hostname and user associated add user's message status as,who -m --mesg,who
line numbering filter use cc for logical page add string after (possible) line,nl --number-separator arg --section-delimiter arg,nl
print lines matching a pattern suppress the prefixing of file option.,grep -E -I --no-filename arg,grep
"authentication key generation, management and conversion the host keys with the supported for keys stored in",ssh-keygen -A -c arg,ssh-keygen
"concatenate files and print on the standard output display $ at end of number all output lines use ^ and m- notation,",cat --number --show-ends --show-nonprinting,cat
use find -exec with multiple commands,find arg -name arg -exec echo,find echo grep
copy files and directories hard link files instead of use full source file name remove each existing destination file make symbolic links instead of stay on this file system,cp -l -s --one-file-system --parents --remove-destination arg,cp
,pushd,pushd
Find files/directories containing 'test' in their names and display the directory contents before the directories themselves,find arg -name arg -depth,find
"Split ""$file"" into files with at most 1000 lines each and use a prefix length of 5",split -a arg arg,split
 and remove sections from each line of files use delim instead of tab,history arg | cut -d arg,history cut
"execute a program periodically, showing output fullscreen",watch,watch
change the file modes output a diagnostic for every,chmod --verbose arg arg,chmod
"Finds strings with dot-separated sequence of numbers, and prints part of that sequence between the first and second dot.",echo arg | grep -E -o,cut echo grep
relational database operator also print unpairable lines from replace missing input fields with join on this field of,join -1 arg -a arg -e arg arg,join
pattern scanning and processing language and stream editor for filtering and transforming text suppress automatic printing of pattern load minimal amounts of data separate lines by nul characters and stream editor for filtering and transforming text,awk | sed -u --null-data --quiet Program | sed Program,sed awk
make a directory set file mode (as in print a message for each,mkdir -m ARG --verbose arg,mkdir
,popd,popd
"find all the regular/normal files in the folder ""myfiles"" which have the permission 647.",find arg -type f -perm -Permission,find
display all the files in the folder /etc /srv excluding those that are present in the path of ./srv/tftp/pxelinux.cfg* and /etc/mtab,find arg ! -path arg -and,find
 display the alias name of display the fqdn (fully qualified,hostname -a -f,hostname
 and pattern-directed scanning and processing language,history arg | awk,history awk
Find all $2 files in $1 path excluding /proc and search for the regex expanded by $3 in those files,find arg -path arg -prune -or,find grep
send a signal to a process list signal names. this option list signal names in a,kill -l arg --table arg,kill
stream editor suppress automatic printing of pattern use extended regular expressions in,sed Program -n arg,sed
run jobs in the foreground,fg,fg
print a sequence of numbers use printf style floating-point format,seq -f ARG arg arg arg,seq
"search for files in a directory hierarchy always print the exact filename,",find -print0 arg,find
line numbering filter use cc for logical page use style for numbering footer use style for numbering header do not reset line numbers add string after (possible) line first line number for each,nl -d arg -f ARG -p --header-numbering ARG --number-separator arg --starting-line-number arg,nl
change the file group ownership like verbose but report only suppress most error messages output a diagnostic for every affect symbolic links instead of,chgrp -v --changes --no-dereference --quiet arg arg,chgrp
compute and check MD5 message digest read md5 sums from the exit non-zero for improperly formatted and translate or delete characters use the complement of set1 first truncate set1 to length,md5sum --check --strict | tr -C -t,md5sum tr
Counts lines in file $file and prints number only.,wc -l arg | awk arg,awk wc
"Print each character in ""orange"" on a new line",echo arg | fold -w arg,fold echo
pattern scanning and processing language,awk,awk
Pushes current folder to the directory stack.,pushd arg,pushd
Verbosely compresses all files on second and third depth level keeping original files in place.,bzip2 -k -v arg,bzip2
change group ownership affect symbolic links instead of operate on files and directories traverse every symbolic link to,chgrp arg -R --no-dereference arg,chgrp
Report file system containing path to the current working directory disk usage human-readable.,df -h arg,df
"a block-sorting file compressor, v1.0.6 set the block size to -2 2000k 900k 600k 877703",bunzip2 arg,bunzip2
"execute a program periodically, showing output fullscreen make <b>watch</b> attempt to run beep if command has a freeze updates on command error,",watch -b -e -p,watch
,sudo,sudo
"authentication key generation, management and conversion when saving a new-format private within the specified file; the exit after screening the specified provides the new passphrase. pem format. the new format silence <b>ssh-keygen</b>.",ssh-keygen -H -J -Quantity -a -Quantity -q arg,ssh-keygen
compute and check MD5 message digest read md5 sums from the create a bsd-style checksum exit non-zero for improperly formatted warn about improperly formatted checksum and  interpret <u>pattern</u> as a list suppress normal output; instead print skip any command-line directory with search only files whose base and number lines of files use style for numbering body use style for numbering header first line number for each use number columns for line,md5sum -w --check --strict --tag | grep -F -y --exclude-dir arg --include arg | nl -b ARG -h ARG -v arg -w arg,md5sum grep nl
merge corresponding or subsequent lines of files reuse characters from list instead paste one file at a,paste --delimiters arg --serial,paste
,source arg,source
select or reject lines common to two files suppress column 1 (lines unique,comm -1 arg,comm
change user ID or become superuser,su,su
strip directory and suffix from filenames support multiple arguments and treat,basename --multiple arg,basename
change the working directory,cd,cd
Gets IP address of 'eth0' network interface.,ifconfig arg | grep arg |,cut awk grep ifconfig
print resolved symbolic links or canonical file names suppress most error messages (on,readlink -s arg,readlink
make links between files remove existing destination files treat link_name as a normal,ln -f --no-target-directory arg arg arg,ln
GNU Bourne-Again SHell the shell becomes restricted (see equivalent to <b>-v</b>.,bash --restricted --verbose,bash
find all directories that names are 'apt' and display details,find arg -type d -name arg,find
show who is logged on print last system clock change,who -t,who
"return true value and do nothing, unsuccessfully",true | false,true false
invoke a utility immune to hangups display this help and exit,nohup --help,nohup
"Make directory ""alpha_real""",mkdir arg,mkdir
strip file name affixes support multiple arguments and treat remove a trailing suffix; implies end each output line with,basename -a -s arg -z arg,basename
Find all .mp3 files with more then 10MB and delete them from root directory .,find arg -type f -name arg,find rm
"file perusal filter for crt viewing count logical lines, rather than the screen size to use, and  make sure that the first if an input file is skip files whose base name read all files under each and report or omit repeated lines only print duplicate lines, one avoid comparing the first n and pattern-directed scanning and processing language",more -f arg | grep -T -r --directories ARG --exclude-from arg arg | uniq -s arg --repeated | awk,uniq more awk grep
"Create a variable CDATE in the current shell that contains the date in '%Y-%m-%d %H:%M:%S' format , and a variable EPOCH that contains the seconds since epoch","source <( date +""CDATE='%Y-%m-%d %H:%M:%S' EPOCH='%s'""",source date
display a tree of processes if highlighting is not available. display version information. and  interpret <u>pattern</u> as a list suppress normal output; instead print quiet; do not write anything suppress error messages about nonexistent suppress the prefixing of file make sure that the first read all files under each,pstree arg -V | grep -L -h --fixed-strings --initial-tab --no-messages --recursive --silent arg,pstree grep
Find all regular files on the system whose size is greater than 20000k,find arg -type f -size +Size,find
find all files  that names are 'apt',find arg -name arg,find
find files in /dir/path/look/up directory that names are dir-name-here,find arg -name arg,find
number lines of files use style for numbering header first line number for each,nl -h ARG --starting-line-number arg,nl
print lines matching a pattern interpret the pattern as a,grep -E -P arg,grep
"word, line, and byte or character count print the character counts print the maximum display width",wc -L --chars,wc
"pattern scanning and processing language and sort lines of text files consider only blanks and alphanumeric shuffle, but group identical keys.",awk | sort -R --dictionary-order,awk sort
,sudo,sudo
"sort lines of text files consider only printable characters compare according to string numerical reverse the result of comparisons sort according to word: general-numeric like <b>-c</b>, but do not read input from the files merge already sorted files; do write result to file instead stabilize sort by disabling last-resort use sep instead of non-blank",sort -C arg -i arg -s -t arg --files0-from arg --numeric-sort --output arg --reverse --sort ARG,sort
"Save the user name in upper case of the current user in variable ""v""",whoami | tr arg,tr whoami
create a temporary file or directory interpret template relative to dir;,mktemp --tmpdir arg,mktemp
"return working directory name use pwd from environment, even avoid all symlinks",pwd -L --physical,pwd
join lines of two files on a common field replace missing input fields with ignore differences in case when use char as input and join on this field of check that the input is,join -1 arg -e arg -t arg --check-order --ignore-case arg,join
Remove adjascent duplicate lines from file 'input' comparing all but last space-separated fields,rev arg | uniq -f arg,rev uniq
,mount arg arg,mount
 warn about a comparison between this switch enables or disables,gcc arg,gcc
"Recursively change ownership of ""/usr/local/lib/node_modules"" to the current user",chown -R $( whoami ) arg,chown
an archiving utility,tar arg,tar
 but writing a file is,vim -m arg,vim
Find all *.txt files under / and print their sizes and paths,find arg -name arg -exec du,find du
,bind,bind
"Find all files in ""/home/"" which contain ""string1"", ""string2"" or the host name in its filename",find arg -type f -regextype posix-extended,find hostname
display who is on the system same as <b>-t</b>,who --writable,who
"display status of jobs in the current session and translate or delete characters use the complement of set1 delete characters in set1, do first truncate set1 to length",jobs | tr -C -d -t,jobs tr
